acceptable,['unacceptable']
'not acceptable; not welcome' – a word unacceptable in polite society · an unacceptable violation of personal freedom,"[""'worthy of acceptance or satisfactory' – acceptable levels of radiation · performances varied from acceptable to excellent""]"
unacceptable,['acceptable']
'capable of being reached' – a town accessible by rail,"[""'capable of being reached only with great difficulty or not at all' – ""]"
accessible,['inaccessible']
'capable of being reached only with great difficulty or not at all' – ,"[""'capable of being reached' – a town accessible by rail""]"
inaccessible,['accessible']
'helpful in bringing about a harmonious adaptation' – the warden was always accommodating in allowing visitors in · made a special effort to be accommodating,"[""'not accommodating' – the unaccommodating bus driver pulled out while she was banging on the door""]"
accommodating,['unaccommodating']
'not accommodating' – the unaccommodating bus driver pulled out while she was banging on the door,"[""'helpful in bringing about a harmonious adaptation' – the warden was always accommodating in allowing visitors in · made a special effort to be accommodating""]"
unaccommodating,['accommodating']
'conforming exactly or almost exactly to fact or to a standard or performing with total accuracy' – an accurate reproduction · the accounting was accurate · accurate measurements · an accurate scale,"[""'not exact' – an inaccurate translation · the thermometer is inaccurate""]"
accurate,['inaccurate']
'not exact' – an inaccurate translation · the thermometer is inaccurate,"[""'conforming exactly or almost exactly to fact or to a standard or performing with total accuracy' – an accurate reproduction · the accounting was accurate · accurate measurements · an accurate scale""]"
inaccurate,['accurate']
'(often followed by `to') in the habit of or adapted to' – accustomed to doing her own work · I've grown accustomed to her face,"[""'not habituated to; unfamiliar with' – unaccustomed to wearing suits""]"
accustomed,['unaccustomed']
'not habituated to; unfamiliar with' – unaccustomed to wearing suits,"[""'(often followed by `to') in the habit of or adapted to' – accustomed to doing her own work · I've grown accustomed to her face""]"
unaccustomed,['accustomed']
'being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)' – ,"[""'relating to or containing an alkali; having a pH greater than 7' – alkaline soils derived from chalk or limestone"", ""'having characteristics of both an acid and a base and capable of reacting as either' – ""]"
acidic,"['alkaline', 'amphoteric']"
'relating to or containing an alkali; having a pH greater than 7' – alkaline soils derived from chalk or limestone,"[""'having characteristics of both an acid and a base and capable of reacting as either' – "", ""'being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)' – ""]"
alkaline,"['amphoteric', 'acidic']"
'having characteristics of both an acid and a base and capable of reacting as either' – ,"[""'being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)' – "", ""'relating to or containing an alkali; having a pH greater than 7' – alkaline soils derived from chalk or limestone""]"
amphoteric,"['acidic', 'alkaline']"
'thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)' – ,"[""'thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)' – ""]"
acid-loving,['alkaline-loving']
'thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)' – ,"[""'thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)' – ""]"
alkaline-loving,['acid-loving']
'recognized or made known or admitted' – the acknowledged leader of the community · a woman of acknowledged accomplishments · his acknowledged error,"[""'not recognized or admitted' – ""]"
acknowledged,['unacknowledged']
'not recognized or admitted' – ,"[""'recognized or made known or admitted' – the acknowledged leader of the community · a woman of acknowledged accomplishments · his acknowledged error""]"
unacknowledged,['acknowledged']
'eager to acquire and possess things especially material possessions or ideas' – an acquisitive mind · an acquisitive society in which the craving for material things seems never satisfied,"[""'not acquisitive; not interested in acquiring or owning anything' – ""]"
acquisitive,['unacquisitive']
'not acquisitive; not interested in acquiring or owning anything' – ,"[""'eager to acquire and possess things especially material possessions or ideas' – an acquisitive mind · an acquisitive society in which the craving for material things seems never satisfied""]"
unacquisitive,['acquisitive']
'of leaves or flowers; developing or opening in succession from base to apex' – ,"[""'of leaves or flowers; developing or opening in succession from apex to base' – ""]"
acropetal,['basipetal']
'of leaves or flowers; developing or opening in succession from apex to base' – ,"[""'of leaves or flowers; developing or opening in succession from base to apex' – ""]"
basipetal,['acropetal']
'characterized by energetic activity' – an active toddler · active as a gazelle · an active man is a man of action,"[""'not active physically or mentally' – illness forced him to live an inactive life · dreamy and inactive by nature""]"
active,['inactive']
'not active physically or mentally' – illness forced him to live an inactive life · dreamy and inactive by nature,"[""'characterized by energetic activity' – an active toddler · active as a gazelle · an active man is a man of action""]"
inactive,['active']
'engaged in full-time work' – active duty · though past retirement age he is still active in his profession,"[""'not engaged in full-time work' – inactive reserve · an inactive member""]"
active,['inactive']
'not engaged in full-time work' – inactive reserve · an inactive member,"[""'engaged in full-time work' – active duty · though past retirement age he is still active in his profession""]"
inactive,['active']
'full of activity or engaged in continuous activity' – an active seaport · an active bond market · an active account,"[""'lacking activity; lying idle or unused' – an inactive mine · inactive accounts · inactive machinery""]"
active,['inactive']
'lacking activity; lying idle or unused' – an inactive mine · inactive accounts · inactive machinery,"[""'full of activity or engaged in continuous activity' – an active seaport · an active bond market · an active account""]"
inactive,['active']
'tending to become more severe or wider in scope' – active tuberculosis,"[""'(pathology) not progressing or increasing; or progressing slowly' – ""]"
active,['inactive']
'(pathology) not progressing or increasing; or progressing slowly' – ,"[""'tending to become more severe or wider in scope' – active tuberculosis""]"
inactive,['active']
'disposed to take action or effectuate change' – a director who takes an active interest in corporate operations · an active antagonism · he was active in drawing attention to their grievances,"[""'lacking in energy or will; - George Meredith' – Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself""]"
active,['passive']
'lacking in energy or will; - George Meredith' – Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself,"[""'disposed to take action or effectuate change' – a director who takes an active interest in corporate operations · an active antagonism · he was active in drawing attention to their grievances""]"
passive,['active']
'(of e.g. volcanos) erupting or liable to erupt' – active volcanos,"[""'(of e.g. volcanos) not erupting and not extinct' – a dormant volcano""]"
active,['dormant']
'(of e.g. volcanos) not erupting and not extinct' – a dormant volcano,"[""'(of e.g. volcanos) erupting or liable to erupt' – active volcanos""]"
dormant,['active']
'(of e.g. volcanos) permanently inactive' – an extinct volcano,"[""'(of e.g. volcanos) capable of erupting' – ""]"
extinct,['active']
'(of e.g. volcanos) capable of erupting' – ,"[""'(of e.g. volcanos) permanently inactive' – an extinct volcano""]"
active,['extinct']
'(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being' – ,"[""'( used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action' – ""]"
active,['stative']
'( used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action' – ,"[""'(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being' – ""]"
stative,['active']
'expressing that the subject of the sentence has the semantic function of actor:' – Hemingway favors active constructions,"[""'expressing that the subject of the sentence is the patient of the action denoted by the verb' – academics seem to favor passive sentences""]"
active,['passive']
'expressing that the subject of the sentence is the patient of the action denoted by the verb' – academics seem to favor passive sentences,"[""'expressing that the subject of the sentence has the semantic function of actor:' – Hemingway favors active constructions""]"
passive,['active']
'exerting influence or producing a change or effect' – an active ingredient,"[""'not exerting influence or change' – ""]"
active,['inactive']
'not exerting influence or change' – ,"[""'exerting influence or producing a change or effect' – an active ingredient""]"
inactive,['active']
'(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions' – ,"[""'of the sun characterized by a low level of surface phenomena like sunspots e.g.' – ""]"
active,['quiet']
'of the sun characterized by a low level of surface phenomena like sunspots e.g.' – ,"[""'(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions' – ""]"
quiet,['active']
'presently existing in fact and not merely potential or possible' – the predicted temperature and the actual temperature were markedly different · actual and imagined conditions,"[""'existing in possibility' – a potential problem · possible uses of nuclear power""]"
actual,['potential']
'existing in possibility' – a potential problem · possible uses of nuclear power,"[""'presently existing in fact and not merely potential or possible' – the predicted temperature and the actual temperature were markedly different · actual and imagined conditions""]"
potential,['actual']
'having or experiencing a rapid onset and short but severe course' – acute appendicitis · the acute phase of the illness · acute patients,"[""'being long-lasting and recurrent or characterized by long suffering' – chronic indigestion · a chronic shortage of funds · a chronic invalid""]"
acute,['chronic']
'being long-lasting and recurrent or characterized by long suffering' – chronic indigestion · a chronic shortage of funds · a chronic invalid,"[""'having or experiencing a rapid onset and short but severe course' – acute appendicitis · the acute phase of the illness · acute patients""]"
chronic,['acute']
'infectious; having the ability to cause disease' – ,"[""'not virulent; unable to produce disease' – ""]"
virulent,['avirulent']
'not virulent; unable to produce disease' – ,"[""'infectious; having the ability to cause disease' – ""]"
avirulent,['virulent']
'having a capacity for adaptation' – the adaptive coloring of a chameleon,"[""'showing faulty adaptation' – ""]"
adaptive,['maladaptive']
'showing faulty adaptation' – ,"[""'having a capacity for adaptation' – the adaptive coloring of a chameleon""]"
maladaptive,['adaptive']
'compulsively or physiologically dependent on something habit-forming' – she is addicted to chocolate · addicted to cocaine,"[""'not addicted' – ""]"
addicted,['unaddicted']
'not addicted' – ,"[""'compulsively or physiologically dependent on something habit-forming' – she is addicted to chocolate · addicted to cocaine""]"
unaddicted,['addicted']
'causing or characterized by addiction' – addictive drugs · addictive behavior,"[""'not causing or characterized by addiction' – for years tobacco companies have contended that tobacco is nonaddictive""]"
addictive,['nonaddictive']
'not causing or characterized by addiction' – for years tobacco companies have contended that tobacco is nonaddictive,"[""'causing or characterized by addiction' – addictive drugs · addictive behavior""]"
nonaddictive,['addictive']
'characterized or produced by addition' – an additive process,"[""'constituting or involving subtraction' – a subtractive correction""]"
additive,['subtractive']
'constituting or involving subtraction' – a subtractive correction,"[""'characterized or produced by addition' – an additive process""]"
subtractive,['additive']
'(of mail) marked with a destination' – I throw away all mail addressed to `resident',"[""'not addressed' – an unaddressed envelope""]"
addressed,['unaddressed']
'not addressed' – an unaddressed envelope,"[""'(of mail) marked with a destination' – I throw away all mail addressed to `resident'""]"
unaddressed,['addressed']
'having the requisite qualities or resources to meet a task' – she had adequate training · her training was adequate · she was adequate to the job · he was equal to the task,"[""'lacking the requisite qualities or resources to meet a task' – inadequate training · the staff was inadequate · she was unequal to the task""]"
adequate,['inadequate']
'lacking the requisite qualities or resources to meet a task' – inadequate training · the staff was inadequate · she was unequal to the task,"[""'having the requisite qualities or resources to meet a task' – she had adequate training · her training was adequate · she was adequate to the job · he was equal to the task""]"
inadequate,['adequate']
'tending to adhere' – ,"[""'not tending to adhere' – ""]"
adhesive,['nonadhesive']
'not tending to adhere' – ,"[""'tending to adhere' – ""]"
nonadhesive,['adhesive']
'relating to court practice and procedure as opposed to the principles of law' – adjective law,"[""'defining rights and duties as opposed to giving the rules by which rights and duties are established' – substantive law""]"
adjective,['substantive']
'defining rights and duties as opposed to giving the rules by which rights and duties are established' – substantive law,"[""'relating to court practice and procedure as opposed to the principles of law' – adjective law""]"
substantive,['adjective']
'suitable or eligible for adoption' – a shortage of adoptable babies,"[""'difficult to place in an adoptive home' – ""]"
adoptable,['unadoptable']
'difficult to place in an adoptive home' – ,"[""'suitable or eligible for adoption' – a shortage of adoptable babies""]"
unadoptable,['adoptable']
'provided with something intended to increase its beauty or distinction' – ,"[""'not decorated with something to increase its beauty or distinction' – ""]"
adorned,['unadorned']
'not decorated with something to increase its beauty or distinction' – ,"[""'provided with something intended to increase its beauty or distinction' – ""]"
unadorned,['adorned']
'releasing or activated by acetylcholine or a related compound' – ,"[""'inhibiting or blocking the action of acetylcholine at a receptor site' – anticholinergic drugs""]"
cholinergic,['anticholinergic']
'inhibiting or blocking the action of acetylcholine at a receptor site' – anticholinergic drugs,"[""'releasing or activated by acetylcholine or a related compound' – ""]"
anticholinergic,['cholinergic']
'quick or skillful or adept in action or thought' – an exceptionally adroit pianist · an adroit technician · his adroit replies to hecklers won him many followers · an adroit negotiator,"[""'not adroit' – a maladroit movement of his hand caused the car to swerve · a maladroit translation · maladroit propaganda""]"
adroit,['maladroit']
'not adroit' – a maladroit movement of his hand caused the car to swerve · a maladroit translation · maladroit propaganda,"[""'quick or skillful or adept in action or thought' – an exceptionally adroit pianist · an adroit technician · his adroit replies to hecklers won him many followers · an adroit negotiator""]"
maladroit,['adroit']
'giving an advantage' – a contract advantageous to our country · socially advantageous to entertain often,"[""'constituting a disadvantage' – ""]"
advantageous,['disadvantageous']
'constituting a disadvantage' – ,"[""'giving an advantage' – a contract advantageous to our country · socially advantageous to entertain often""]"
disadvantageous,['advantageous']
'willing to undertake or seeking out new and daring enterprises' – adventurous pioneers · the risks and gains of an adventuresome economy,"[""'lacking in boldness' – ""]"
adventurous,['unadventurous']
'lacking in boldness' – ,"[""'willing to undertake or seeking out new and daring enterprises' – adventurous pioneers · the risks and gains of an adventuresome economy""]"
unadventurous,['adventurous']
'worthy of being recommended or suggested; prudent or wise' – such action is neither necessary nor advisable · extreme caution is advisable · it is advisable to telephone first,"[""'not prudent or wise; not recommended' – running on the ice is inadvisable""]"
advisable,['inadvisable']
'not prudent or wise; not recommended' – running on the ice is inadvisable,"[""'worthy of being recommended or suggested; prudent or wise' – such action is neither necessary nor advisable · extreme caution is advisable · it is advisable to telephone first""]"
inadvisable,['advisable']
'having the benefit of careful prior consideration or counsel' – a well-advised delay in carrying out the plan,"[""'without careful prior deliberation or counsel' – ill-advised efforts · it would be ill-advised to accept the offer · took the unadvised measure of going public with the accusations""]"
well-advised,['ill-advised']
'without careful prior deliberation or counsel' – ill-advised efforts · it would be ill-advised to accept the offer · took the unadvised measure of going public with the accusations,"[""'having the benefit of careful prior consideration or counsel' – a well-advised delay in carrying out the plan""]"
ill-advised,['well-advised']
'depending on free oxygen or air' – aerobic fermentation,"[""'living or active in the absence of free oxygen' – anaerobic bacteria""]"
aerobic,['anaerobic']
'living or active in the absence of free oxygen' – anaerobic bacteria,"[""'depending on free oxygen or air' – aerobic fermentation""]"
anaerobic,['aerobic']
'based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency' – aerobic dance · running is very aerobic,"[""'not aerobic' – isometric exercises are anaerobic""]"
aerobic,['anaerobic']
'not aerobic' – isometric exercises are anaerobic,"[""'based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency' – aerobic dance · running is very aerobic""]"
anaerobic,['aerobic']
'concerning or characterized by an appreciation of beauty or good taste' – the aesthetic faculties · an aesthetic person · aesthetic feeling · the illustrations made the book an aesthetic success,"[""'violating aesthetic canons or requirements; deficient in tastefulness or beauty' – inaesthetic and quite unintellectual · peered through those inaesthetic spectacles""]"
aesthetic,['inaesthetic']
'violating aesthetic canons or requirements; deficient in tastefulness or beauty' – inaesthetic and quite unintellectual · peered through those inaesthetic spectacles,"[""'concerning or characterized by an appreciation of beauty or good taste' – the aesthetic faculties · an aesthetic person · aesthetic feeling · the illustrations made the book an aesthetic success""]"
inaesthetic,['aesthetic']
'acted upon; influenced' – ,"[""'undergoing no change when acted upon' – entirely unaffected by each other's writings · fibers remained apparently unaffected by the treatment""]"
affected,['unaffected']
'undergoing no change when acted upon' – entirely unaffected by each other's writings · fibers remained apparently unaffected by the treatment,"[""'acted upon; influenced' – ""]"
unaffected,['affected']
'speaking or behaving in an artificial way to make an impression' – ,"[""'free of artificiality; sincere and genuine' – an unaffected grace""]"
affected,['unaffected']
'free of artificiality; sincere and genuine' – an unaffected grace,"[""'speaking or behaving in an artificial way to make an impression' – ""]"
unaffected,['affected']
'affirming or giving assent' – an affirmative decision · affirmative votes,"[""'expressing or consisting of a negation or refusal or denial' – ""]"
affirmative,['negative']
'expressing or consisting of a negation or refusal or denial' – ,"[""'affirming or giving assent' – an affirmative decision · affirmative votes""]"
negative,['affirmative']
'inclined to accept rather than reject' – she was seldom acceptive of my suggestions,"[""'rejecting or tending to reject' – rejective or overcritical attitudes of disappointed parents""]"
acceptive,['rejective']
'rejecting or tending to reject' – rejective or overcritical attitudes of disappointed parents,"[""'inclined to accept rather than reject' – she was seldom acceptive of my suggestions""]"
rejective,['acceptive']
'borne on the water; floating' – ,"[""'stuck in a place where a ship can no longer float' – a ship aground offshore · a boat aground on the beach waiting for the tide to lift it""]"
afloat,['aground']
'stuck in a place where a ship can no longer float' – a ship aground offshore · a boat aground on the beach waiting for the tide to lift it,"[""'borne on the water; floating' – ""]"
aground,['afloat']
'filled with fear or apprehension' – afraid even to turn his head · suddenly looked afraid · afraid for his life · afraid of snakes · afraid to ask questions,"[""'oblivious of dangers or perils or calmly resolute in facing them' – ""]"
afraid,['unafraid']
'oblivious of dangers or perils or calmly resolute in facing them' – ,"[""'filled with fear or apprehension' – afraid even to turn his head · suddenly looked afraid · afraid for his life · afraid of snakes · afraid to ask questions""]"
unafraid,['afraid']
'having or showing determination and energetic pursuit of your ends' – an aggressive businessman · an aggressive basketball player · he was aggressive and imperious; positive in his convictions · aggressive drivers,"[""'not aggressive; not given to fighting or assertiveness' – ""]"
aggressive,['unaggressive']
'not aggressive; not given to fighting or assertiveness' – ,"[""'having or showing determination and energetic pursuit of your ends' – an aggressive businessman · an aggressive basketball player · he was aggressive and imperious; positive in his convictions · aggressive drivers""]"
unaggressive,['aggressive']
'troubled emotionally and usually deeply' – agitated parents,"[""'not agitated or disturbed emotionally' – ""]"
agitated,['unagitated']
'not agitated or disturbed emotionally' – ,"[""'troubled emotionally and usually deeply' – agitated parents""]"
unagitated,['agitated']
'physically disturbed or set in motion' – the agitated mixture foamed and bubbled,"[""'not physically disturbed or set in motion' – ""]"
agitated,['unagitated']
'not physically disturbed or set in motion' – ,"[""'physically disturbed or set in motion' – the agitated mixture foamed and bubbled""]"
unagitated,['agitated']
'conforming to your own liking or feelings or nature; ; ; - Disraeli' – Is the plan agreeable to you? · he's an agreeable fellow · My idea of an agreeable person...is a person who agrees with me · an agreeable manner,"[""'not to your liking' – a disagreeable situation""]"
agreeable,['disagreeable']
'not to your liking' – a disagreeable situation,"[""'conforming to your own liking or feelings or nature; ; ; - Disraeli' – Is the plan agreeable to you? · he's an agreeable fellow · My idea of an agreeable person...is a person who agrees with me · an agreeable manner""]"
disagreeable,['agreeable']
'operating from or designed to be fired from aircraft at targets on the ground' – air-to-surface missiles,"[""'operating between or launched from or involving rockets or aircraft in flight' – air-to-air missiles · air-to-air communications"", ""'operating from or designed to be launched from the ground against an airborne target' – surface-to-air missiles""]"
air-to-surface,"['air-to-air', 'surface-to-air']"
'operating between or launched from or involving rockets or aircraft in flight' – air-to-air missiles · air-to-air communications,"[""'operating from or designed to be launched from the ground against an airborne target' – surface-to-air missiles"", ""'operating from or designed to be fired from aircraft at targets on the ground' – air-to-surface missiles""]"
air-to-air,"['surface-to-air', 'air-to-surface']"
'operating from or designed to be launched from the ground against an airborne target' – surface-to-air missiles,"[""'operating from or designed to be fired from aircraft at targets on the ground' – air-to-surface missiles"", ""'operating between or launched from or involving rockets or aircraft in flight' – air-to-air missiles · air-to-air communications""]"
surface-to-air,"['air-to-surface', 'air-to-air']"
"'engaged in or accustomed to close observation' – caught by a couple of alert cops · alert enough to spot the opportunity when it came · constantly alert and vigilant, like a sentinel on duty","[""'not alert to what is potentially dangerous' – ""]"
alert,['unalert']
'not alert to what is potentially dangerous' – ,"[""'engaged in or accustomed to close observation' – caught by a couple of alert cops · alert enough to spot the opportunity when it came · constantly alert and vigilant, like a sentinel on duty""]"
unalert,['alert']
'of or relating to or having the characteristics of an algorithm' – ,"[""'of or relating to or using a general formulation that serves to guide investigation' – ""]"
algorithmic,['heuristic']
'of or relating to or using a general formulation that serves to guide investigation' – ,"[""'of or relating to or having the characteristics of an algorithm' – ""]"
heuristic,['algorithmic']
'transferable to another owner' – ,"[""'incapable of being repudiated or transferred to another' – endowed by their Creator with certain unalienable rights""]"
alienable,['inalienable']
'incapable of being repudiated or transferred to another' – endowed by their Creator with certain unalienable rights,"[""'transferable to another owner' – ""]"
inalienable,['alienable']
'possessing life' – the happiest person alive · the nerve is alive · doctors are working hard to keep him alive · burned alive · a live canary,"[""'no longer having or seeming to have or expecting to have life' – the nerve is dead · a dead pallor · he was marked as a dead man by the assassin""]"
alive,['dead']
'no longer having or seeming to have or expecting to have life' – the nerve is dead · a dead pallor · he was marked as a dead man by the assassin,"[""'possessing life' – the happiest person alive · the nerve is alive · doctors are working hard to keep him alive · burned alive · a live canary""]"
dead,['alive']
'(of exocrine glands) producing a secretion in which part of the secreting cell is released with the secretion' – mother's milk is one apocrine secretion,"[""'(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature' – ""]"
apocrine,['eccrine']
'(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature' – ,"[""'(of exocrine glands) producing a secretion in which part of the secreting cell is released with the secretion' – mother's milk is one apocrine secretion""]"
eccrine,['apocrine']
'(of water) rising to the surface under internal hydrostatic pressure' – an artesian well · artesian pressure,"[""'(of water) rising naturally in a well to a height appreciably above that of the surrounding water table but not flowing out of the well' – ""]"
artesian,['subartesian']
'(of water) rising naturally in a well to a height appreciably above that of the surrounding water table but not flowing out of the well' – ,"[""'(of water) rising to the surface under internal hydrostatic pressure' – an artesian well · artesian pressure""]"
subartesian,['artesian']
'exerting force or containing energy' – live coals · tossed a live cigarette out the window · got a shock from a live wire · live ore is unmined ore · a live bomb · a live ball is one in play,"[""'not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat' – Mars is a dead planet · dead soil · dead coals · the fire is dead""]"
live,['dead']
'not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat' – Mars is a dead planet · dead soil · dead coals · the fire is dead,"[""'exerting force or containing energy' – live coals · tossed a live cigarette out the window · got a shock from a live wire · live ore is unmined ore · a live bomb · a live ball is one in play""]"
dead,['live']
'arranged in order according to the alphabet' – an alphabetic arrangement · dictionaries list words in alphabetical order,"[""'not alphabetic' – an analphabetic arrangement of letters · Jesperson's system of phonetic transcription is analphabetic""]"
alphabetic,['analphabetic']
'not alphabetic' – an analphabetic arrangement of letters · Jesperson's system of phonetic transcription is analphabetic,"[""'arranged in order according to the alphabet' – an alphabetic arrangement · dictionaries list words in alphabetical order""]"
analphabetic,['alphabetic']
'(of hatchlings) naked and blind and dependent on parents for food' – ,"[""'(of hatchlings) covered with down and having eyes open; capable of leaving the nest within a few days' – ""]"
altricial,['precocial']
'(of hatchlings) covered with down and having eyes open; capable of leaving the nest within a few days' – ,"[""'(of hatchlings) naked and blind and dependent on parents for food' – ""]"
precocial,['altricial']
'showing unselfish concern for the welfare of others' – ,"[""'limited to or caring only about yourself and your own needs' – ""]"
altruistic,['egoistic']
'limited to or caring only about yourself and your own needs' – ,"[""'showing unselfish concern for the welfare of others' – ""]"
egoistic,['altruistic']
"'having more than one possible meaning' – ambiguous words · frustrated by ambiguous instructions, the parents were unable to assemble the toy","[""'having or exhibiting a single clearly defined meaning; - Mario Vargas Llosa' – As a horror, apartheid...is absolutely unambiguous""]"
ambiguous,['unambiguous']
"'having or exhibiting a single clearly defined meaning; - Mario Vargas Llosa' – As a horror, apartheid...is absolutely unambiguous","[""'having more than one possible meaning' – ambiguous words · frustrated by ambiguous instructions, the parents were unable to assemble the toy""]"
unambiguous,['ambiguous']
